Johanneksen evankeliumi suomeksi ja vosaksi.	Johanof rossa mu fin a vosa.
23 Mutta muut venheet tulivat Tiberiaasta, lähelle sitä paikkaa, jossa he olivat leipää syöneet, sitten kun Herra oli kiittänyt.	23 Mut tuasi vuvosi uuten ut Tiberia, tu raf it lo, koin häsi ooen bekem eemen, iten na Romä ooen haforsaaen.
24 Koska kansa sen näki, ettei Jeesus siellä ollut eikä hänen opetuslapsensa, astuivat he myös haakseen ja menivät Kapernaumiin etsien Jeesusta.	24 Syfor hyj vokaaen it, syt ej Jesus itla ooen a ej häof usdavjosi, vetuuen häsi ali intu vuvo a tuuen Kapernaum seekli Jesus.
25 Ja kun he hänen siltä puolen merta löysivät, sanoivat he hänelle: Rabbi, koska tänne tulit?	25 A na häsi hä ut it duik fovamlo keesen, saaen häsi tu hä: Ropadaavjo, kona ja täle uuten?
26 Jeesus vastasi heille ja sanoi: Totisesti, totisesti sanon minä teille: Ette etsi minua, että te näitte ihmeen, vaan että te saitte leipää syödä ja olette ravitut.	26 Jesus ooken tu häsi a saaen: Darilli, darilli aj saa tu jasi: Jasi ej seek aj, syt jasi vokaaen voejhäp, mut syt jasi aafen bekem eem a jasi oo roeemen.
27 Älkäät tehkö sitä ruokaa, joka on katoava, vaan sitä ruokaa, joka pysyy iankaikkiseen elämään, jonka Ihmisen Poika teille antava on, sillä Isä Jumala on sen vahvistanut.	27 Ej jasi tee it em, ko oo kayyrva, mut it em, ko autpaoo tu kikinova eo, ko Mämof Son tu jasi faane oo, syfor Ma Hajo oo it povopiiren.
28 Niin he sanoivat hänelle: Mitä meidän pitää tekemän, että me taitaisimme Jumalan töitä tehdä?	28 Itli häsi saaen tu hä: Ko ajsi piit tee, syt ajsi livoteeif Hajo-of tösi tee?
29 Jeesus vastasi ja sanoi heille: Se on Jumalan työ, että te uskotte häneen, jonka Jumala lähetti.	29 Jesus ooken a saaen tu häsi: It oo Hajo-of tö, syt jasi uus intu hä, kojo Hajo pagaaen.
30 Niin he sanoivat hänelle: Mitä ihmettä siis sinä teet, että me näkisimme ja uskoisimme sinuun? Mitä työtä sinä teet?	30 Itli häsi saaen tu hä: Ko voejhäp syklirli ja tee, syt ajsi vokaaif a uusif intu ja? Ko tö ja tee?
31 Meidän isämme söivät mannaa korvessa, niin kuin kirjoitettu on: Hän antoi heille leipää taivaasta syödäksensä.	31 Ajsiof masi eemen ylloem in vildmol, itli li kiiren oo: Hä faaen for häsi bekem ut halo for eem.
32 Niin Jeesus sanoi heille: Totisesti, totisesti sanon minä teille, ei Mooses sitä leipää antanut teille taivaasta, mutta minun Isäni antaa totisen leivän taivaasta.	32 Itli Jesus saaen tu häsi: Darilli, darilli aj saa tu jasi, ej Moses it bekem faaen tu jasi ut halo mut ajof Ma faa darilva bekem ut halo.
33 Sillä Jumalan leipä on se, joka taivaasta tulee alas ja antaa maailmalle elämän.	33 Syfor Hajo-of bekem oo it, ko ut halo uut lytu a faa for köl eo.
34 Niin he sanoivat hänelle: Herra, anna meille aina sitä leipää.	34 Itli häsi saaen tu hä: Romä, faa tu ajsi kina it bekem.
35 Jeesus sanoi heille: Minä olen elämän leipä, joka tulee minun tyköni, ei hän suinkaan isoa ja joka uskoo minun päälleni, ei hän koskaan janoa.	35 Jesus saaen tu häsi: Aj oo eo bekem, kojo uut tu aj, hä ejejli emniid a kojo uus intu aj, hä ejna vemniid.
36 Mutta minä sanoin teille, että te näitte minut, ette sittenkään usko.	36 Mut aj saaen tu jasi, syt jasi vokaaen aj, jasi ej itne a uus.
37 Kaikki, mitä minun Isäni antaa minulle, se tulee minun tyköni. Ja joka minun tyköni tulee, sitä en minä heitä ulos.	37 Ki, ko ajof ma faa tu aj, it uut tu aj. A kojo tu aj uut, it aj ej heii nitu.
38 Sillä minä tulin taivaasta alas, en tekemään minun tahtoani, vaan sen tahtoa, joka minun lähetti.	38 Syfor aj uuten ut halo lytu, ej for tee ajof obra, mut itof obra, kojo pagaaen aj.
39 Mutta se on Isän tahto, joka minun lähetti, ettei minun pidä yhtäkään niistä kaikista kadottaman, jotka hän minulle antoi, mutta olen ne herättävä viimeisenä päivänä.	39 Mut it oo Maof obra, kojo pagaaen aj, syt ej aj piitne ej is a ob itsi ki pakayyr, kojosi hä tu aj faaen, mut teönnuukne itsi na önva tan.
40 Tämä on sen tahto, joka minun lähetti, että jokainen, joka näkee Pojan ja uskoo häneen, hänellä pitää iankaikkinen elämä oleman ja minä herätän hänen viimeisenä päivänä.	40 Tä oo itof obra, kojo pagaaen aj, syt kijo, kojo vokaa Son a uus intu hä, hä oofne kikinova eo a aj teönnuukne hä na önva tan.
41 Niin Juutalaiset napisivat sitä, kun hän sanoi: Minä olen se leipä, joka taivaasta tuli alas.	41 Itli jutjosi nidlufsaaen it, na hä saaen: Aj oo it bekem, ko ut halo uuten lytu.
42 Ja sanoivat: Eikö tämä ole Jeesus, Josefin poika, jonka isän ja äidin me tunnemme? Kuinka hän sanoo: Minä olen tullut taivaasta alas.	42 A saaen: Ejko tä oo Jesus, Josefof son, kojo-of ma a am ajsi kavodaa? Koli hä saa: Aj oo uuten ut halo lytu.
43 Niin Jeesus vastasi ja sanoi heille: Älkää napisko keskenänne.	43 Itli Jesus ooken a saaen tu häsi: Ej jasi nidlufsaa vigög jasi.
44 Ei taida kenkään minun tyköni tulla, ellei Isä, joka minun lähetti, vedä häntä ja minä herätän hänen viimeisenä päivänä.	44 Ej livotee kojo tu aj uut, ifej Ma, kojo pagaaen aj, poaag hä a aj teönnuuk hä na önva tan.
45 Se on profeetoissa kirjoitettu: Heidän pitää kaikki Jumalalta opetetuksi tuleman. Sen tähden jokainen, joka sen on Isältä kuullut ja oppinut, hän tulee minun tyköni.	45 It oo in usennesaajosi kiiren: Häsi piit ki ut Hajo padaaven muu. Forsy it ki, kojo it oo ut ma vohööen a daaven, hä uut tu aj.
46 Ei niin, että joku on Isän nähnyt, vaan joka on Jumalasta, se on Isän nähnyt.	46 Ej itli, syt öjo oo vokaaen Ma, mut kojo oo ob Hajo, it oo vokaaen Ma.
47 Totisesti, totisesti sanon minä teille: Joka uskoo minun päälleni, hänellä on iankaikkinen elämä.	47 Darilli, darilli aj saa tu jasi: Kojo uus intu aj, hä oof kikinova eo.
48 Minä olen elämän leipä.	48 Aj oo eo bekem.
49 Teidän isänne söivät mannaa korvessa ja kuolivat.	49 Jasiof mäsi eemen ylloem in vildmol a eöönen.
50 Tämä on se leipä, joka taivaasta tuli alas ja joka siitä syö, ei hänen pidä kuoleman.	50 Tä oo it bekem, ko ut halo uuten lytu a kojo ob it eem, ej hä piitne eöön.
51 Minä olen elävä leipä, joka taivaasta tuli alas: Se, joka tästä leivästä syö, hän elää iankaikkisesti. Ja se leipä, jonka minä annan, on minun lihani, jonka minun pitää antaman maailman elämän edestä.	51 Aj oo eeva bekem, ko ut halo uuten lytu: It kojo täob bekem eem, hä ee kikinoli. A it bekem, ko aj faa, oo ajof mit, ko aj piitne faa gö kölof eo.
52 Niin Juutalaiset riitelivät keskenänsä, sanoen: Kuinka tämä taitaa antaa lihansa meille syödä?	52 Itli jutjosi sipoosen vigög jasi, saali: Koli tä livotee faa mit for ajsi eem?
53 Jeesus sanoi heille: Totisesti, totisesti sanon minä teille, ellette syö Ihmisen Pojan lihaa ja juo hänen vertansa, niin ei ole elämä teissä.	53 Jesus saaen tu häsi: Darilli, darilli aj saa tu jasi, if jasi ej eem Mämof Son mit a veem häof hemo, itli ej oo eo in jasi.
54 Joka syö minun lihani ja juo minun vereni, hänellä on iankaikkinen elämä ja minä olen herättävä hänen viimeisenä päivänä.	54 Kojo eem ajof mit a veem ajof hemo, hä oof kikinova eo a aj teönnuukne hä na önva tan.
55 Sillä minun lihani on todellinen ruoka ja minun vereni on todellinen juoma.	55 Syfor ajof mit oo rilva em a ajof hemo oo rilva vem.
56 Joka syö minun lihani ja juo minun vereni, hän on minussa ja minä hänessä.	56 Kojo eem ajof mit a veem ajof hemo, hä oo in aj a aj in hä.
57 Niin kuin elävä Isä minut lähetti ja minä elän Isäni tähden, niin myös se, joka minua syö, hän elää minun tähteni.	57 Itli li eeva Ma pagaaen aj a aj ee forsy ajof Ma, itli ali it, kojo eem aj, hä ee forsy aj.
58 Tämä on se leipä, joka taivaasta tuli alas: Ei niin kuin teidän isänne söivät mannaa ja kuolivat: Joka tätä leipää syö, hän saa elää iankaikkisesti.	58 Tä oo it bekem, ko ut halo uuten lytu: Ej itli li jasiof masi eemen ylloem a eöönen: Kojo tä bekem eem, hä aaf ee kikinoli.
59 Näitä sanoi hän synagogassa, opettaessansa Kapernaumissa.	59 Täsi saaen hä in jutustol, na hä padaaven in Kapernaum.
60 Niin monta hänen opetuslapsistansa, kun he tämän kuulivat, sanoivat: Tämä on kova puhe, kuka voi sitä kuulla?	60 Itli si häof usdavjosi, na häsi tä vohööen, saaen: Tä oo kamva sasa. Kojo voo it vohöö?
61 Mutta kun Jeesus tiesi itsestänsä, että hänen opetuslapsensa siitä napisivat, sanoi hän heille: Pahoittaako tämä teitä?	61 Mut na Jesus daaen öb aut, syt häof usdavjosi öb it nidlufsaaen, saaen hä tu häsi: Teaahko tä jasi?
62 Mitä sitten, jos te näette Ihmisen Pojan sinne menevän ylös, kussa hän ennen oli?	62 Ko iten, if jasi vokaa Mämof Son itle tuuva yltu, koin hä en ooen?
63 Henki on se, joka eläväksi tekee, ei liha mitään auta. Ne sanat, jotka minä teille puhun, ovat henki ja elämä.	63 Ho oo it, kojo mu eeva tee, mit ejö vyy. Itsi sasi, kosi aj tu jasi sasaa, oo ho a eo.
64 Mutta muutamat teistä ovat, jotka eivät usko. Sillä Jeesus tiesi alusta, kutka ovat, jotka ei uskoneet ja kuka hänen oli pettävä.	64 Mut ipsi ob jasi oo, kojosi ej uus. Syfor Jesus daaen ut nö, kojosi oo, kojosi ej uusen a kojo hatuaahne hä.
65 Ja hän sanoi: Sen tähden sanoin minä teille: Ei taida kenkään tulla minun tyköni, ellei se ole annettu hänelle minun Isältäni.	65 A hä saaen: Forsy it saaen aj tu jasi: Ejkojo livotee uut tu aj, ifej it oo faaen tu hä ut ajof Ma.
66 Siitä ajasta luopuivat monta hänen opetuslastansa hänestä ja menivät pois, eikä hänen kanssansa enempi vaeltaneet.	66 Ut it no ofuuren si häof usdavjosi ut hä a tuuen yr, a ej vi hä pir tutuuen.
67 Niin Jeesus sanoi niille kahdelletoista: Ettekö te myös tahdo mennä pois?	67 Itli Jesus saaen tu itsi basdu: Ejko jasi ali obraa tuu yr?
68 Simon Pietari vastasi hänelle: Herra, kenenkä tykö me menemme? Sinulla on iankaikkisen elämän sanat.	68 Simon Pietar ooken tu hä: Romä, tu kojo ajsi tuu? Ja oof kikinova eo sasi.
69 Ja me uskomme ja olemme ymmärtäneet, että sinä olet Kristus, elävän Jumalan Poika.	69 A ajsi uus a oo dakavooen, syt ja oo Krist, eeva Hajo-of Son.
70 Jeesus vastasi heille: Enkö minä ole teitä kahtatoista valinnut? Ja yksi teistä on perkele.	70 Jesus ooken tu häsi: Ejko aj oo jasi basdu apkaaen? A is ob jasi oo ahjo.
71 Mutta sen hän sanoi Juudaasta, Simonin pojasta Iskariotista, sillä hän oli hänen pettävä ja oli yksi niistä kahdestatoista.	71 Mut it hä saaen öb Judas, Simonof son Iskariot, syfor hä hatuaahne hä a ooen is ob itsi basdu.
Johannes 7	Johan 7
1 Ja sitten vaelsi Jeesus Galileassa, sillä ei hän tahtonut vaeltaa Juudeassa, että Juutalaiset pyysivät häntä tappaa.	1 A iten tutuuen Jesus in Galilea, syfor hä ej obraaen tutuu in Judea, syt jutjosi teaafen hä paeöön.
2 Niin Juutalaisten lehtimajan juhla oli läsnä.	2 Itli jutjosiof lifiptol rono ooen tutvi.
3 Ja hänen veljensä sanoivat hänelle: Lähde täältä ja mene Juudeaan, että myös sinun opetuslapsesi näkisivät sinun työsi, joita sinä teet.	3 A häof bajsonsi saaen tu hä: Urtuu ja täel a tuu ja Judea, syt ali jaof usdavjosi vokaaif jaof tösi, kosi ja tee.
4 Sillä ei kenkään tee mitään salaa ja tahtoo itse julki olla. Jos siis sinä näitä teet, niin julista itsesi maailman edessä.	4 Syfor kojo tee ejö dahidli a obraa aut tudih oo. If syklirli ja täsi tee, itli dihsasaa ja aut kaed köl.
5 Sillä ei hänen veljensäkään uskoneet häneen.	5 Syfor ej häof bajsonsi a uusen intu hä.
6 Niin Jeesus sanoi heille: Ei ole minun aikani vielä tullut, vaan teidän aikanne on aina valmis.	6 Itli Jesus saaen tu häsi: Ej oo ajof no pirnen uuten, mut jasiof no oo kina teful.
7 Ei maailma taida teitä vihata, mutta minua se vihaa, sillä minä todistan siitä, että sen työnsä ovat pahat.	7 Ej köl livotee aar jasi, mut it aar aj, syfor aj dariil öb it, syt itof tösi oo ahva.
8 Menkää te ylös juhlalle: En minä vielä tälle juhlalle mene, sillä ei minun aikani ole vielä täytetty.	8 Tuu jasi yltu rono: Aj ej pirnen tu tä rono tuu, syfor ej ajof no oo pirnen fuulen.
9 Ja kun hän näitä heille puhunut oli, niin hän jäi Galileaan.	9 A na hä täsi tu häsi sasaaen ooen, itli hä jääen in Galilea.
10 Mutta kun hänen veljensä olivat menneet ylös, meni hän myös juhlalle, ei julki, vaan niin kuin salaa.	10 Mut na häof bajsonsi ooen tuuen yltu, tuuen hä ali tu rono, ej tudih, mut itli li dahidli.
11 Niin Juutalaiset etsivät häntä juhlana ja sanoivat: Missä hän on?	11 Itli jutjosi seeken hä na rono a saaen: Koin hä oo?
12 Ja suuri napina oli hänestä kansan seassa, sillä muutamat sanoivat: Hän on hyvä, mutta toiset sanoivat: Ei, vaan hän viettelee kansan.	12 A piva nidlufsaate ooen öb hä insio hyj, syfor ipsi saaen: Hä oo hava, mut tuasi saaen: Ej, mut hä ahrapoaag hyj.
13 Ei kuitenkaan yksikään hänestä julkisesti puhunut, sillä he pelkäsivät juutalaisia.	13 Amut ej is a öb hä dihli sasaaen, syfor häsi raaken jutjosi.
14 Mutta kun jo puoli juhlaa oli kulunut, meni Jeesus ylös temppeliin ja opetti.	14 Mut na ripnen duik rono ooen noriipen, tuuen Jesus yltu roustol a padaaven.
15 Ja Juutalaiset ihmettelivät, sanoen: Kuinka tämä taitaa kirjaa, joka ei ole oppinut?	15 A jutjosi voejhäpkaaen, saali: Koli tä livotee kirto, kojo ej oo daaven?
16 Vastasi Jeesus ja sanoi heille: Ei minun oppini ole minun, mutta sen, joka minun lähetti.	16 Ooken Jesus a saaen tu häsi: Ej ajof dav oo ajof, mut itof, kojo pagaaen aj.
17 Jos joku tahtoo tehdä hänen tahtonsa, niin hänen pitää tietämän tästä opista, josko se on Jumalasta, eli jos minä itsestäni puhun.	17 If öjo obraa tee häof obra, itli hä piit daa öb tä dav, ifko it oo ut Hajo, tuasaali if aj öb aut sasaa.
18 Joka itsestänsä puhuu, se etsii omaa kunniaansa: Mutta joka etsii sen kunniaa, joka hänet lähetti, se on vakaa ja ei hänessä ole vääryyttä.	18 Kojo öb aut sasaa, it seek öfva hon: Mut kojo seek itof hon, kojo pagaaen hä, it oo talova a ej in hä oo tarvao.
19 Eikö Mooses antanut teille lakia ja ei kenkään teistä lakia täytä? Miksi te etsitte minua tappaaksenne?	19 Ejko Moses faaen tu jasi pöso a ejkojo ob jasi fuul pöso? Kosy jasi seek aj for paeöönif?
20 Vastasi kansa ja sanoi: Sinulla on perkele, kuka sinua etsii tappaaksensa?	20 Ooken hyj a saaen: Ja oof ahjo, kojo seek ja for paeöönif?
21 Jeesus vastasi ja sanoi heille: Yhden työn minä tein ja te kaikki ihmettelette.	21 Jesus ooken a saaen tu häsi: Is tö aj tee-en a jasi ki voejhäpkaaen.
22 Sen tähden antoi Mooses teille ympärileikkauksen, ei että se Moosekselta oli, vaan isiltä ja te ympärileikkaatte sapattina ihmisen.	22 Forsy it faaen Moses tu jasi raulikuutte, ej syt it ut Moses ooen, mut ut masi a jasi raulikuut na pyhtan mäm.
23 Jos ihminen sapattina ympärileikataan, ettei Mooseksen laki rikottaisi: Närkästyttekö te minusta, että minä koko ihmisen sapattina paransin?	23 If mäm na pyhtan raulikuutta, syt ej Mosesof pöso ahreekif: Arahmimuuko jasi ob aj, syt aj kio mäm na pyhtan termuuen?
24 Älkää tuomitko näkemisen jälkeen, vaan sanokaa oikea tuomio.	24 Ej jasi pöcuu ne vokaate, mut saa jasi ratva pöcuute.
25 Sanoivat siis muutamat Jerusalemin asuvaisista: Eikö tämä se ole, jota he etsivät tappaaksensa?	25 Saaen syklirli ipsi Jerusalemof eloova: Ejko tä it oo, kojo häsi seeken for paeöönif?
26 Ja katso, hän puhuu rohkeasti ja ei he hänelle mitään puhu: Tietänevätkö ylimmäiset oikein, että hän on totisesti Kristus?	26 A kaa ja, hä sasaa karli a ej häsi tu hä ejö sasaa: Meejko daa yllast josi ratli, syt hä oo darilli Krist?
27 Mutta me kyllä tiedämme, kusta tämä on: Vaan kusta Kristus tulee ja kusta hän on, ei kenkään tiedä.	27 Mut ajsi je daa, kout tä oo: Mut kout Krist uut a kout hä oo, ejkojo daa.
28 Niin Jeesus huusi temppelissä, opetti ja sanoi: Ja te tunnette minun ja tiedätte, kusta minä olen: Ja en minä ole tullut itsestäni, mutta hän on vakaa, joka minun lähetti, jota ette tunne.	28 Itli Jesus sääen in roustol, padaaven a saaen: A jasi kavodaa aj a daa, kout aj oo: A aj ej oo uuten ob aut, mut hä oo talova, kojo pagaaen aj, kojo jasi ej kavodaa.
29 Mutta minä tunnen hänen, sillä minä olen hänestä ja hän lähetti minun.	29 Mut aj kavodaa hä, syfor aj oo ob hä a hä pagaaen aj.
30 Niin he etsivät häntä ottaaksensa hänet kiinni, vaan ei kenkään laskenut kättänsä häneen, sillä ei hänen aikansa ollut vielä tullut.	30 Itli häsi seeken hä for aap ru hä, mut ejkojo lypaaen häof pavesi tu hä, syfor ej häof no ooen pirnen uuten.
31 Mutta paljon kansasta uskoivat häneen ja sanoivat: Kun Kristus tulee, tehneekö hän enemmän ihmeitä kuin tämä on tehnyt?	31 Mut piri ob hyj uusen intu hä a saaen: Na Krist uut, meejko hä tee pir voejhäpsi il tä oo tee-en?
32 Farisealaiset kuulivat kansan hänestä senkaltaisia napisevan ja farisealaiset ja ylimmäiset papit lähettivät palvelijat häntä ottamaan kiinni.	32 Pösousjosi vohööen hyj öb hä itliva nidlufsaa a pösousjosi a yllast ussajosi pagaaen seerjosi hä aap ru.
33 Niin Jeesus sanoi heille: Minä olen vielä vähän aikaa teidän kanssanne ja menen sitten hänen tykönsä, joka minun lähetti.	33 Itli Jesus saaen tu häsi: Aj oo pirnen ipri no vi jasi a tuu iten tu hä, kojo pagaaen aj.
34 Teidän pitää minua etsimän ja ei löytämän ja kussa minä olen, ette taida sinne tulla.	34 Jasi piit aj seek a ej kees a koin aj oo, jasi ej livotee itle uut.
35 Niin Juutalaiset sanoivat keskenänsä: Kuhunka hän menee, ettemme häntä löydä? Meneekö hän kreikkalaisten sekaan, jotka sinne ja tänne hajotetut ovat, kreikkalaisia opettamaan?	35 Itli jutjosi saaen vigög jasi: Kotu hä tuu, syt ajsi ej hä kees? Tuuko hä intusio grekjosi, kojosi itle a täle silomuuen oo, padaav grekjosi?
36 Mikä puhe se on, minkä hän sanoi: Teidän pitää etsimän minua ja ei löytämän ja kussa minä olen, ette taida sinne tulla?	36 Ko sasa it oo, ko hä saaen: Jasi piit seek aj a ej kees a koin aj oo, jasi ej livotee itle uut?
37 Mutta viimeisenä suurena juhlapäivänä seisoi Jeesus ja huusi, sanoen: Joka janoaa, se tulkoon minun tyköni ja juokoon.	37 Mut na önva piva ronotan tiisen Jesus a sääen, saali: Kojo obvemniid, uut hä tu aj a veem hä.
38 Joka uskoo minun päälleni, niin kuin Raamattu sanoo, hänen kohdustansa pitää vuotaman elämän veden virrat.	38 Kojo uus intu aj, itli li Uskirto saa, ut häof nöevlo piit vomnituu eo vamtulsi.
39 Mutta sen hän sanoi siitä hengestä, jonka niiden piti saaman, jotka uskovat häneen, sillä ei Pyhä Henki vielä silloin saapuvilla ollut, ettei Jeesus ollut vielä kirkastettu.	39 Mut it hä saaen ob it ho, kojo itsi piiten aaf, kojosi uus intu hä, syfor ej Pyhva Ho pirnen itna uutvoli ooen, syt ej Jesus ooen pirnen kliiren.
40 Monta siis kansasta, jotka tämän puheen kuulivat, sanoivat: Tämä on totisesti profeetta.	40 Si syklirli ob hyj, kojosi tä sasa vohööen, saaen: Tä oo darilli usennesaajo.
41 Muut sanoivat: Tämä on Kristus, mutta muutamat sanoivat: Tulleeko Kristus Galileasta?	41 Tuasi saaen: Tä oo Krist mut ipsi saaen: Meejko uut Krist ut Galilea?
42 Eikö Raamattu sano Davidin siemenestä ja Betlehemin kaupungista, kussa David oli, Kristuksen tulevan?	42 Ejko uskirto saa ob David sem a ut Beetlehem taunlo, koin David ooen, Krist uutne?
43 Niin nousi riita kansan seassa hänen tähtensä.	43 Itli yylen pos insio hyj forsy hä.
44 Mutta muutamat tahtoivat hänen ottaa kiinni ja ei kuitenkaan kenkään laskenut käsiänsä häneen.	44 Mut ipsi obraaen aap ru hä a amut ejkojo lypaaen pavesi le hä.
45 Niin palvelijat tulivat farisealaisten ja ylimmäisten pappien tykö ja he sanoivat heille: Miksi ette häntä tänne tuoneet?	45 Itli seerjosi uuten tu pösousjosi a yllast ussajosi a häsi saaen tu häsi: Kosy jasi ej hä täle aagen?
46 Palvelijat vastasivat: Ei ole ihminen ikänä niin puhunut kuin se ihminen.	46 Seerjosi ooken: Mäm oo ejkina itli sasaaen il it mäm.
47 Farisealaiset vastasivat heille: Oletteko te myös vietellyt?	47 Pösousjosi ooken tu häsi: Ooko jasi ali ahrapoaagen?
48 Onko joku päämiehistä taikka farisealaisista uskonut häneen?	48 Ooko öjo ob pämäsi taj pösousjosi uusen intu hä?
49 Vaan tämä kansa, joka ei tiedä lakia, on kirottu.	49 Mut tä hyj, ko ej daa pöso, oo hypsaaen.
50 Niin sanoi heille Nikodemus, joka yöllä oli hänen tykönsä tullut ja oli yksi heistä:	50 Itli saaen tu häsi Nikodemus, kojo natna ooen tu hä uuten a ooen is ob häsi:
51 Tuomitseeko meidän lakimme jonkun ihmisen, ennen kuin kuullaan eli tietää saadaan, mitä hän teki?	51 Pöcuuko ajsiof pöso öjo mäm, en na vohööta tuasaali daa aafta, ko hä tee-en?
52 He vastasivat ja sanoivat hänelle: Oletko sinäkin Galilealainen? Tutki ja näe, ettei Galileasta ole yhtään profeettaa tullut.	52 Häsi ooken a saaen tu hä: Ooko ja a Galileajo? Dakaa ja a vokaa, syt ut Galilea oo ejri usennesaajo uuten.
53 Ja niin kukin meni kotiansa.	53 A itli obki tuuen bal.
Johannes 8	Johan 8
1 Mutta Jeesus meni Öljymäelle.	1 Mut Jesus tuuen Oilmöyl.
2 Ja tuli varhain aamulla jälleen temppeliin ja kaikki kansa tuli hänen tykönsä ja hän istui ja opetti heitä.	2 A uuten lyna entanna dunen intu roustol a ki hyj uuten tu hä a hä siiten a padaaven häsi.
3 Mutta kirjanoppineet ja farisealaiset toivat vaimon hänen tykönsä huoruudesta otetun kiinni. Ja kun he olivat sen hänen eteensä asettaneet,	3 Mut kirdaaven josi a pösousjosi aagen viäm tu hä ut ahvisemvao aapen ru. A na häsi ooen it kaedtu hä lopaaen,
4 sanoivat he hänelle: Mestari, tämä vaimo on löydetty itse teossa, kun hän teki huorin.	4 saaen häsi tu hä: Ylvojo, tä viäm oo keesen in aut te, na hä tee-en ahvisemli.
5 Mutta Mooses on laissa meitä käskenyt, että senkaltaiset kivillä surmattaisiin. Mitäs sinä sanot?	5 Mut Moses oo in pöso pötusaaen ajsi, syt itliva vy kamsi ahpaeöönifta. Ko ja saa?
6 Mutta sen he sanoivat, kiusaten häntä, kantaaksensa hänelle. Mutta Jeesus kumarsi ja kirjoitti sormellansa maahan.	6 Mut it häsi saaen, miahteeli hä, for pogaagif tu hä. Mut Jesus bauuen a kiiren vy häof pavetap tu mol.
7 Mutta kun he seisoivat kysymyksensä päälle, ojensi hän itsensä ja sanoi heille: Joka teistä on synnitön, se heittäköön ensin häntä kivellä.	7 Mut na häsi tiisen le häsiof koote, oupreiien hä aut a saaen tu häsi: Kojo ob jasi oo ahoejva, heii hä isvana hä vy kam.
8 Ja hän kumarsi taas ja kirjoitti maahan.	8 A hä bauuen anen a kiiren tu mol.
9 Kun he tämän kuulivat ja olivat omaltatunnoltansa voitetut, läksivät he ulos yksittäin, ruveten vanhimmista, viimeisiin asti, ja Jeesus jäi yksinänsä ja vaimo seisoi siinä.	9 Na häsi tä vohööen a ooen vi häsiof hahfi viinen, urtuuen häsi nitu isoli, tenööli ut unst, tu önst ättu, a Jesus jääen isvi a viäm tiisen itin.
10 Mutta kun Jeesus ojensi itsensä ja ei nähnyt ketään paitsi vaimoa, sanoi hän hänelle: Vaimo, kussa ovat sinun syyttäjäsi? Onko sinua kenkään tuominnut?	10 Mut na Jesus oupreiien aut a vokaaen ejjo öej viäm, saaen hä tu hä: Viäm, koin oo jaof sysaajosi? Ooko kojo pöcuuen ja?
11 Hän sanoi: Herra, ei kenkään. Niin Jeesus sanoi: En minä myös sinua tuomitse, mene ja älä silleen syntiä tee.	11 Hä saaen: Romä, ejkojo. Itli Jesus saaen: Aj ej ali pöcuu ja, tuu ja a ej ja li it tee aho.
12 Niin Jeesus puhui taas heille ja sanoi: Minä olen maailman valkeus: Joka minua seuraa, ei hän pimeydessä vaella, mutta saa elämän valkeuden.	12 Itli Jesus sasaaen anen tu häsi a saaen: Aj oo kölof vitvao: Kojo dekaa aj, ej hä in takvao tutuu, mut aaf eo vitvao.
13 Farisealaiset sanoivat hänelle: Sinä todistat itsestäsi, ei sinun todistuksesi ole tosi.	13 Pösousjosi saaen tu hä: Ja dariil öb aut ej jaof darilob oo ril.
14 Jeesus vastasi ja sanoi heille: Vaikka minä itsestäni todistan, niin minun todistukseni on tosi, sillä minä tiedän, kusta minä tulin ja kuhunka minä menen, mutta ette tiedä, kusta minä tulin ja kuhunka minä menen.	14 Jesus ooken a saaen tu häsi: Tajli aj öb aut dariil, itli ajof darilob oo ril syfor aj daa, kout aj uuten a kotu aj tuu, mut jasi ej daa, kout aj uuten a kotu aj tuu.
15 Te tuomitsette lihan mukaan, en minä ketään tuomitse.	15 Jasi pöcuu vili mit, aj ejjo pöcuu.
16 Ja vaikka minä tuomitsisin, niin minun tuomioni on tosi, sillä en minä ole yksinäni, vaan minä ja Isä, joka minun lähetti.	16 A tajli aj pöcuuif, itli ajof pöcuute oo ril syfor aj ej oo isvi, mut aj a Ma, kojo pagaaen aj.
17 Ja teidän laissanne on myös kirjoitettu, että kahden ihmisen todistus on tosi.	17 A in jasiof pöso oo ali kiiren, syt du mämsiof darilob oo ril.
18 Minä olen se, joka itsestäni todistan ja Isä, joka minun lähetti, todistaa myös minusta.	18 Aj oo it, kojo öb aut dariil a Ma, kojo pagaaen aj, dariil ali öb aj.
19 Niin he sanoivat hänelle: Kussa isäsi on? Jeesus vastasi: Ette tunne minua ettekä minun Isääni: Jos te tuntisitte minun, niin te tuntisitte myös minun isäni.	19 Itli häsi saaen tu hä: Koin jaof ma oo? Jesus ooken: Jasi ej kavodaa aj a ajof Ma: If jasi kavodaaif aj, itli jasi kavodaaif ali ajof ma.
20 Nämä sanat puhui Jeesus uhriarkun tykönä, opettaen temppelissä ja ei häntä kenkään ottanut kiinni, sillä ei hänen aikansa ollut vielä tullut.	20 Täsi sasi sasaaen Jesus tut usoffa roboks, padaavli in roustol a ejkojo aapen ru hä, syfor ej häof no ooen pirnen uuten.
